USER               PID  %CPU %MEM      VSZ    RSS   TT  STAT STARTED      TIME COMMAND
bikennepal        5141   9.4  2.7 508057216 445040   ??  Ss   11:02AM   3:40.89 /System/Library/Frameworks/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.WebContent.xpc/Contents/MacOS/com.apple.WebKit.WebContent
_windowserver      645   1.2  0.8 436965104 135952   ??  Ss   10:05AM  10:07.39 /System/Library/PrivateFrameworks/SkyLight.framework/Resources/WindowServer -daemon
root               634   0.1  0.1 435339520  14080   ??  Ss   10:05AM   0:29.71 /usr/libexec/corebrightnessd --launchd
root               631   0.1  0.1 435361184  23920   ??  Ss   10:05AM   0:01.69 /usr/sbin/bluetoothd
bikennepal        1146   0.1  0.8 441135056 130768   ??  Ss   10:05AM   1:11.13 /System/Library/Frameworks/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.GPU.xpc/Contents/MacOS/com.apple.WebKit.GPU
bikennepal        5305   0.0  0.4 435542112  68592   ??  Ss   11:05AM   0:00.55 /System/Library/Frameworks/AppKit.framework/Versions/C/XPCServices/com.apple.appkit.xpc.openAndSavePanelService.xpc/Contents/MacOS/com.apple.appkit.xpc.openAndSavePanelService
bikennepal        5301   0.0  0.0 435367344   2688   ??  Ss   11:05AM   0:00.01 /System/Library/Frameworks/NetFS.framework/Versions/A/XPCServices/PlugInLibraryService.xpc/Contents/MacOS/PlugInLibraryService
bikennepal        5300   0.0  0.9 435862752 158560   ??  S    11:05AM   0:02.78 /System/Applications/Preview.app/Contents/MacOS/Preview
bikennepal        5295   0.0  0.1 435372240  11360   ??  Ss   11:05AM   0:00.04 /System/Library/Frameworks/Metal.framework/Versions/A/XPCServices/MTLCompilerService.xpc/Contents/MacOS/MTLCompilerService
bikennepal        5294   0.0  0.1 435372656  10608   ??  Ss   11:05AM   0:00.07 /System/Library/Frameworks/Metal.framework/Versions/A/XPCServices/MTLCompilerService.xpc/Contents/MacOS/MTLCompilerService
bikennepal        5257   0.0  0.0 435373088   4448   ??  Ss   11:04AM   0:00.08 /System/Library/Frameworks/Metal.framework/Versions/A/XPCServices/MTLCompilerService.xpc/Contents/MacOS/MTLCompilerService
bikennepal        5258   0.0  0.0 435372608   4336   ??  Ss   11:04AM   0:00.04 /System/Library/Frameworks/Metal.framework/Versions/A/XPCServices/MTLCompilerService.xpc/Contents/MacOS/MTLCompilerService
bikennepal        5253   0.0  0.0 435349664   7008   ??  Ss   11:04AM   0:00.01 /System/Library/Frameworks/SafariServices.framework/Versions/A/XPCServices/com.apple.SafariServices.xpc/Contents/MacOS/com.apple.SafariServices
bikennepal        5239   0.0  0.0 435305888   6880   ??  S    11:04AM   0:00.10 /System/Library/PrivateFrameworks/ProtectedCloudStorage.framework/Helpers/ProtectedCloudKeySyncing
root              5209   0.0  0.0 435339952   6368   ??  Ss   11:03AM   0:00.87 /System/Library/PrivateFrameworks/AppleNeuralEngine.framework/XPCServices/ANECompilerService.xpc/Contents/MacOS/ANECompilerService
bikennepal        5155   0.0  0.0 435301824   3024   ??  S    11:02AM   0:00.03 /System/Library/CoreServices/ReportCrash agent
bikennepal        5149   0.0  0.3 435585536  44624   ??  Ss   11:02AM   0:00.34 /System/Library/Frameworks/AppKit.framework/Versions/C/XPCServices/ThemeWidgetControlViewService.xpc/Contents/MacOS/ThemeWidgetControlViewService
bikennepal        5145   0.0  8.9 509372416 1499296   ??  Ss   11:02AM   2:19.61 /System/Library/Frameworks/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.WebContent.xpc/Contents/MacOS/com.apple.WebKit.WebContent
bikennepal        5142   0.0  0.2 435351472  25168   ??  S    11:02AM   0:00.55 /usr/libexec/tipsd
bikennepal        4945   0.0  0.2 435362128  26592   ??  Ss   10:57AM   0:00.27 /System/Library/Frameworks/QuickLook.framework/Versions/A/XPCServices/QuickLookSatellite.xpc/Contents/MacOS/QuickLookSatellite
bikennepal        4889   0.0  0.0 435305248   3968   ??  Ss   10:56AM   0:00.02 /System/Library/Frameworks/Metal.framework/Versions/A/XPCServices/MTLCompilerService.xpc/Contents/MacOS/MTLCompilerService
bikennepal        4890   0.0  0.0 435305376   3808   ??  Ss   10:56AM   0:00.02 /System/Library/Frameworks/Metal.framework/Versions/A/XPCServices/MTLCompilerService.xpc/Contents/MacOS/MTLCompilerService
bikennepal        4888   0.0  0.3 435593168  43136   ??  Ss   10:56AM   0:00.29 /System/Library/Frameworks/AppKit.framework/Versions/C/XPCServices/ThemeWidgetControlViewService.xpc/Contents/MacOS/ThemeWidgetControlViewService
bikennepal        4883   0.0  0.1 435313520  19904   ??  Ss   10:56AM   0:00.08 /System/Library/Frameworks/QuickLookUI.framework/Versions/A/XPCServices/QuickLookUIService.xpc/Contents/MacOS/QuickLookUIService
bikennepal        4882   0.0  0.5 435578416  86640   ??  Ss   10:56AM   0:01.12 /System/Library/Frameworks/AppKit.framework/Versions/C/XPCServices/com.apple.appkit.xpc.openAndSavePanelService.xpc/Contents/MacOS/com.apple.appkit.xpc.openAndSavePanelService
bikennepal        4881   0.0  0.0 435309760   7056   ??  Ss   10:56AM   0:00.03 /System/Library/Frameworks/Metal.framework/Versions/A/XPCServices/MTLCompilerService.xpc/Contents/MacOS/MTLCompilerService
bikennepal        4880   0.0  0.0 435300992   2240   ??  Ss   10:56AM   0:00.01 /System/Library/Frameworks/ColorSync.framework/Versions/A/XPCServices/com.apple.ColorSyncXPCAgent.xpc/Contents/MacOS/com.apple.ColorSyncXPCAgent
bikennepal        4879   0.0  0.0 435338624   4864   ??  S    10:56AM   0:00.03 /System/Library/Frameworks/ColorSync.framework/Support/colorsync.useragent
bikennepal        4877   0.0  0.1 435372992  10800   ??  Ss   10:56AM   0:00.04 /System/Library/Frameworks/Metal.framework/Versions/A/XPCServices/MTLCompilerService.xpc/Contents/MacOS/MTLCompilerService
bikennepal        4876   0.0  0.0 435366432   2848   ??  Ss   10:56AM   0:00.04 /System/Library/Frameworks/NetFS.framework/Versions/A/XPCServices/PlugInLibraryService.xpc/Contents/MacOS/PlugInLibraryService
bikennepal        4872   0.0  0.1 435369328  19232   ??  S    10:56AM   0:00.21 /System/Library/Frameworks/ApplicationServices.framework/Frameworks/PrintCore.framework/Versions/A/printtool
bikennepal        4867   0.0  0.1 435349984  10656   ??  Ss   10:56AM   0:00.05 /System/Library/PrivateFrameworks/XprotectFramework.framework/Versions/A/XPCServices/XprotectService.xpc/Contents/MacOS/XprotectService
bikennepal        4866   0.0  2.0 436141520 332432   ??  S    10:56AM   0:22.04 /Applications/Pages.app/Contents/MacOS/Pages
bikennepal        4859   0.0  0.2 435582560  40976   ??  Ss   10:56AM   0:00.27 /System/Library/Frameworks/AppKit.framework/Versions/C/XPCServices/ThemeWidgetControlViewService.xpc/Contents/MacOS/ThemeWidgetControlViewService
bikennepal        4853   0.0  0.0 435341120   7744   ??  Ss   10:56AM   0:00.16 /System/Library/Frameworks/CoreGraphics.framework/Versions/A/XPCServices/CGPDFService.xpc/Contents/MacOS/CGPDFService
bikennepal        4812   0.0  0.1 435341984  13920   ??  S    10:55AM   0:00.53 /System/Library/Frameworks/CoreSpotlight.framework/spotlightknowledged -x
bikennepal        4808   0.0  0.0 435370176   7504   ??  Ss   10:55AM   0:00.05 /System/Library/Frameworks/AudioToolbox.framework/XPCServices/com.apple.audio.SandboxHelper.xpc/Contents/MacOS/com.apple.audio.SandboxHelper
bikennepal        4805   0.0  0.0 435370480   7232   ??  Ss   10:55AM   0:00.05 /System/Library/Frameworks/AudioToolbox.framework/XPCServices/com.apple.audio.SandboxHelper.xpc/Contents/MacOS/com.apple.audio.SandboxHelper
bikennepal        4802   0.0  0.2 439874816  25344   ??  Ss   10:55AM   0:00.24 /System/Library/Frameworks/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.GPU.xpc/Contents/MacOS/com.apple.WebKit.GPU
bikennepal        4801   0.0  0.2 439841664  38736   ??  Ss   10:55AM   0:00.41 /System/Library/ExtensionKit/Extensions/WebThumbnailExtension.appex/Contents/MacOS/WebThumbnailExtension -LaunchArguments eyJlbmhhbmNlZFNlY3VyaXR5IjpmYWxzZSwic2VydmljZU5hbWUiOiJjb20uYXBwbGUucXVpY2tsb29rLnRodW1ibmFpbC5XZWJFeHRlbnNpb24iLCJ0eXBlIjoxfQ==
bikennepal        4800   0.0  0.1 435349552  14080   ??  Ss   10:55AM   0:00.19 /System/Library/ExtensionKit/Extensions/OfficeThumbnailExtension.appex/Contents/MacOS/OfficeThumbnailExtension -LaunchArguments eyJlbmhhbmNlZFNlY3VyaXR5IjpmYWxzZSwic2VydmljZU5hbWUiOiJjb20uYXBwbGUucXVpY2tsb29rLnRodW1ibmFpbC5PZmZpY2VFeHRlbnNpb24iLCJ0eXBlIjoxfQ==
bikennepal        4799   0.0  0.0 435339776   5584   ??  S    10:55AM   0:00.05 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/Metadata.framework/Versions/A/Support/mdwrite
bikennepal        4795   0.0  0.0 435367088   2608   ??  Ss   10:55AM   0:00.01 /System/Library/Frameworks/NetFS.framework/Versions/A/XPCServices/PlugInLibraryService.xpc/Contents/MacOS/PlugInLibraryService
root              4464   0.0  0.1 435376480  12560   ??  Ss   10:47AM   0:00.31 /System/Library/Frameworks/Metal.framework/Versions/A/XPCServices/MTLCompilerService.xpc/Contents/MacOS/MTLCompilerService
bikennepal        3939   0.0  0.1 435339168  20736   ??  S    10:34AM   0:00.23 /System/iOSSupport/System/Library/PrivateFrameworks/HomeEnergyDaemon.framework/Support/homeenergyd
bikennepal        3895   0.0  0.1 435351872   9680   ??  S    10:34AM   0:00.09 /System/Library/PrivateFrameworks/CoreParsec.framework/parsec-fbf
bikennepal        3896   0.0  0.0 435339488   5744   ??  Ss   10:34AM   0:00.10 /System/Library/PrivateFrameworks/ManagedBackgroundAssets.framework/Versions/A/XPCServices/Managed Background Assets Helper Service.xpc/Contents/MacOS/Managed Background Assets Helper Service
_accessoryupdater  3892   0.0  0.0 435305056   2528   ??  Ss   10:34AM   0:00.06 /System/Library/PrivateFrameworks/UARPAssetManager.framework/XPCServices/UARPAssetManagerServiceMobileAsset.xpc/Contents/MacOS/UARPAssetManagerServiceMobileAsset
bikennepal        3890   0.0  0.0 435337856   3888   ??  S    10:34AM   0:00.06 /usr/libexec/metrickitd
bikennepal        3888   0.0  0.0 435341456   6416   ??  S    10:34AM   0:00.06 cloudphotod
bikennepal        2543   0.0  0.0 435300240    864 s002  T    10:23AM   0:00.01 /usr/bin/less
bikennepal        2542   0.0  0.0 435311152   3856 s002  T    10:23AM   0:00.03 /Library/Developer/CommandLineTools/usr/bin/git show
bikennepal        1745   0.0  0.0 435309040   3504 s002  Ss   10:23AM   0:00.23 /bin/zsh -il
bikennepal        1744   0.0  0.9 1892212112 146480   ??  S    10:23AM   0:16.36 /private/var/folders/nk/g6_5bx3x5_s3gfc5l57j1b0w0000gn/T/AppTranslocation/36FC86C3-E8FD-4F3E-B1DD-9EB6A768790B/d/Visual Studio Code.app/Contents/Frameworks/Code Helper (Plugin).app/Contents/MacOS/Code Helper (Plugin) --type=utility --utility-sub-type=node.mojom.NodeService --lang=en-GB --service-sandbox-type=none --dns-result-order=ipv4first --experimental-network-inspection --inspect-port=0 --user-data-dir=/Users/bikennepal/Library/Application Support/Code --standard-schemes=vscode-webview,vscode-file --enable-sandbox --secure-schemes=vscode-webview,vscode-file --cors-schemes=vscode-webview,vscode-file --fetch-schemes=vscode-webview,vscode-file --service-worker-schemes=vscode-webview --code-cache-schemes=vscode-webview,vscode-file --shared-files --field-trial-handle=1718379636,r,7254158424841196120,11512384528147521106,262144 --enable-features=DocumentPolicyIncludeJSCallStacksInCrashReports,EarlyEstablishGpuChannel,EstablishGpuChannelAsync,ScreenCaptureKitPickerScreen,ScreenCaptureKitStreamPickerSonoma --disable-features=CalculateNativeWinOcclusion,FontationsLinuxSystemFonts,MacWebContentsOcclusion,ScreenAIOCREnabled,SpareRendererForSitePerProcess,TimeoutHangingVideoCaptureStarts --variations-seed-version
bikennepal        1743   0.0  0.5 1892212832  76336   ??  S    10:23AM   0:02.58 /private/var/folders/nk/g6_5bx3x5_s3gfc5l57j1b0w0000gn/T/AppTranslocation/36FC86C3-E8FD-4F3E-B1DD-9EB6A768790B/d/Visual Studio Code.app/Contents/Frameworks/Code Helper.app/Contents/MacOS/Code Helper --type=utility --utility-sub-type=node.mojom.NodeService --lang=en-GB --service-sandbox-type=none --user-data-dir=/Users/bikennepal/Library/Application Support/Code --standard-schemes=vscode-webview,vscode-file --enable-sandbox --secure-schemes=vscode-webview,vscode-file --cors-schemes=vscode-webview,vscode-file --fetch-schemes=vscode-webview,vscode-file --service-worker-schemes=vscode-webview --code-cache-schemes=vscode-webview,vscode-file --shared-files --field-trial-handle=1718379636,r,7254158424841196120,11512384528147521106,262144 --enable-features=DocumentPolicyIncludeJSCallStacksInCrashReports,EarlyEstablishGpuChannel,EstablishGpuChannelAsync,ScreenCaptureKitPickerScreen,ScreenCaptureKitStreamPickerSonoma --disable-features=CalculateNativeWinOcclusion,FontationsLinuxSystemFonts,MacWebContentsOcclusion,ScreenAIOCREnabled,SpareRendererForSitePerProcess,TimeoutHangingVideoCaptureStarts --variations-seed-version
bikennepal        1724   0.0  0.1 435302960  17968   ??  Ss   10:22AM   0:00.09 /System/Library/Frameworks/QuickLookUI.framework/Versions/A/XPCServices/QuickLookUIService.xpc/Contents/MacOS/QuickLookUIService
bikennepal        1723   0.0  0.5 435547120  87648   ??  Ss   10:22AM   0:01.25 /System/Library/Frameworks/AppKit.framework/Versions/C/XPCServices/com.apple.appkit.xpc.openAndSavePanelService.xpc/Contents/MacOS/com.apple.appkit.xpc.openAndSavePanelService
bikennepal        1653   0.0  0.6 1892210992  96480   ??  S    10:22AM   0:02.97 /private/var/folders/nk/g6_5bx3x5_s3gfc5l57j1b0w0000gn/T/AppTranslocation/36FC86C3-E8FD-4F3E-B1DD-9EB6A768790B/d/Visual Studio Code.app/Contents/Frameworks/Code Helper.app/Contents/MacOS/Code Helper --type=utility --utility-sub-type=node.mojom.NodeService --lang=en-GB --service-sandbox-type=none --user-data-dir=/Users/bikennepal/Library/Application Support/Code --standard-schemes=vscode-webview,vscode-file --enable-sandbox --secure-schemes=vscode-webview,vscode-file --cors-schemes=vscode-webview,vscode-file --fetch-schemes=vscode-webview,vscode-file --service-worker-schemes=vscode-webview --code-cache-schemes=vscode-webview,vscode-file --shared-files --field-trial-handle=1718379636,r,7254158424841196120,11512384528147521106,262144 --enable-features=DocumentPolicyIncludeJSCallStacksInCrashReports,EarlyEstablishGpuChannel,EstablishGpuChannelAsync,ScreenCaptureKitPickerScreen,ScreenCaptureKitStreamPickerSonoma --disable-features=CalculateNativeWinOcclusion,FontationsLinuxSystemFonts,MacWebContentsOcclusion,ScreenAIOCREnabled,SpareRendererForSitePerProcess,TimeoutHangingVideoCaptureStarts --variations-seed-version
bikennepal        1633   0.0  0.3 469239440  49600   ??  S    10:22AM   0:01.03 /private/var/folders/nk/g6_5bx3x5_s3gfc5l57j1b0w0000gn/T/AppTranslocation/36FC86C3-E8FD-4F3E-B1DD-9EB6A768790B/d/Visual Studio Code.app/Contents/Frameworks/Code Helper.app/Contents/MacOS/Code Helper --type=utility --utility-sub-type=network.mojom.NetworkService --lang=en-GB --service-sandbox-type=network --user-data-dir=/Users/bikennepal/Library/Application Support/Code --standard-schemes=vscode-webview,vscode-file --enable-sandbox --secure-schemes=vscode-webview,vscode-file --cors-schemes=vscode-webview,vscode-file --fetch-schemes=vscode-webview,vscode-file --service-worker-schemes=vscode-webview --code-cache-schemes=vscode-webview,vscode-file --shared-files --field-trial-handle=1718379636,r,7254158424841196120,11512384528147521106,262144 --enable-features=DocumentPolicyIncludeJSCallStacksInCrashReports,EarlyEstablishGpuChannel,EstablishGpuChannelAsync,ScreenCaptureKitPickerScreen,ScreenCaptureKitStreamPickerSonoma --disable-features=CalculateNativeWinOcclusion,FontationsLinuxSystemFonts,MacWebContentsOcclusion,ScreenAIOCREnabled,SpareRendererForSitePerProcess,TimeoutHangingVideoCaptureStarts --variations-seed-version --seatbelt-client=32
bikennepal        1631   0.0  0.0 468923168   7904   ??  S    10:22AM   0:00.01 /var/folders/nk/g6_5bx3x5_s3gfc5l57j1b0w0000gn/T/AppTranslocation/36FC86C3-E8FD-4F3E-B1DD-9EB6A768790B/d/Visual Studio Code.app/Contents/Frameworks/Electron Framework.framework/Helpers/chrome_crashpad_handler --no-rate-limit --monitor-self-annotation=ptype=crashpad-handler --database=/Users/bikennepal/Library/Application Support/Code/Crashpad --url=appcenter://code?aid=de75e3cc-e22f-4f42-a03f-1409c21d8af8&uid=f805b9c5-2303-43e8-9f62-81c4f9be359e&iid=f805b9c5-2303-43e8-9f62-81c4f9be359e&sid=f805b9c5-2303-43e8-9f62-81c4f9be359e --annotation=_companyName=Microsoft --annotation=_productName=VSCode --annotation=_version=1.106.3 --annotation=plat=OS X --annotation=prod=Electron --annotation=ver=37.7.0 --handshake-fd=20
bikennepal        1629   0.0  0.1 435356752  18672   ??  S    10:22AM   0:00.23 /System/Library/Frameworks/StoreKit.framework/Support/storekitagent
bikennepal        1628   0.0  0.0 435366544   2240   ??  Ss   10:22AM   0:00.01 /System/Library/Frameworks/NetFS.framework/Versions/A/XPCServices/PlugInLibraryService.xpc/Contents/MacOS/PlugInLibraryService
root              1627   0.0  0.0 435366912   2000   ??  Ss   10:22AM   0:00.01 /System/Library/Frameworks/NetFS.framework/Versions/A/XPCServices/PlugInLibraryService.xpc/Contents/MacOS/PlugInLibraryService
bikennepal        1624   0.0  0.0 435366512   1904   ??  Ss   10:22AM   0:00.01 /System/Library/Frameworks/NetFS.framework/Versions/A/XPCServices/PlugInLibraryService.xpc/Contents/MacOS/PlugInLibraryService
root              1626   0.0  0.0 435367232   1856   ??  Ss   10:22AM   0:00.01 /System/Library/Frameworks/NetFS.framework/Versions/A/XPCServices/PlugInLibraryService.xpc/Contents/MacOS/PlugInLibraryService
root              1625   0.0  0.0 435366784   1856   ??  Ss   10:22AM   0:00.01 /System/Library/Frameworks/NetFS.framework/Versions/A/XPCServices/PlugInLibraryService.xpc/Contents/MacOS/PlugInLibraryService
bikennepal        1623   0.0  1.4 1892595424 236912   ??  S    10:22AM   0:24.78 /private/var/folders/nk/g6_5bx3x5_s3gfc5l57j1b0w0000gn/T/AppTranslocation/36FC86C3-E8FD-4F3E-B1DD-9EB6A768790B/d/Visual Studio Code.app/Contents/MacOS/Electron
bikennepal        1622   0.0  0.0 435366736   2720   ??  Ss   10:22AM   0:00.01 /System/Library/Frameworks/NetFS.framework/Versions/A/XPCServices/PlugInLibraryService.xpc/Contents/MacOS/PlugInLibraryService
bikennepal        1621   0.0  0.2 435374240  28544   ??  Ss   10:22AM   0:00.22 /System/Library/ExtensionKit/Extensions/TextThumbnailExtension.appex/Contents/MacOS/TextThumbnailExtension -LaunchArguments eyJzZXJ2aWNlTmFtZSI6ImNvbS5hcHBsZS5xdWlja2xvb2sudGh1bWJuYWlsLlRleHRFeHRlbnNpb24iLCJ0eXBlIjoxLCJlbmhhbmNlZFNlY3VyaXR5IjpmYWxzZX0=
bikennepal        1620   0.0  0.1 435348704  12544   ??  Ss   10:22AM   0:00.08 /System/Library/Frameworks/ExtensionFoundation.framework/Versions/A/XPCServices/extensionkitservice.xpc/Contents/MacOS/extensionkitservice
bikennepal        1619   0.0  0.1 435346016  11520   ??  S    10:22AM   0:00.22 /System/Library/Frameworks/Contacts.framework/Support/postersyncd
bikennepal        1618   0.0  0.1 435341952   9856   ??  S    10:22AM   0:00.12 /System/Library/PrivateFrameworks/IntelligencePlatformCore.framework/Versions/A/intelligenceplatformd
bikennepal        1472   0.0  0.1 435372208  15168   ??  Ss   10:11AM   0:00.08 /System/Library/Frameworks/Metal.framework/Versions/A/XPCServices/MTLCompilerService.xpc/Contents/MacOS/MTLCompilerService
bikennepal        1471   0.0  0.1 435315616  11760   ??  Ss   10:11AM   0:00.08 /System/Library/ExtensionKit/Extensions/BiomeSELFIngestor.appex/Contents/MacOS/BiomeSELFIngestor -LaunchArguments eyJzZXJ2aWNlTmFtZSI6ImNvbS5hcHBsZS5saWdodGhvdXNlLkJpb21lU0VMRkluZ2VzdG9yIiwiZW5oYW5jZWRTZWN1cml0eSI6ZmFsc2UsInR5cGUiOjF9
bikennepal        1470   0.0  0.1 435348560  12192   ??  Ss   10:11AM   0:00.06 /System/Library/ExtensionKit/Extensions/GMSSELFIngestor.appex/Contents/MacOS/GMSSELFIngestor -LaunchArguments eyJzZXJ2aWNlTmFtZSI6ImNvbS5hcHBsZS5zaXJpLkdNU1NFTEZJbmdlc3RvciIsImVuaGFuY2VkU2VjdXJpdHkiOmZhbHNlLCJ0eXBlIjoxfQ==
bikennepal        1469   0.0  0.1 435315024  11360   ??  Ss   10:11AM   0:00.06 /System/Library/ExtensionKit/Extensions/IFTranscriptSELFIngestor.appex/Contents/MacOS/IFTranscriptSELFIngestor -LaunchArguments eyJzZXJ2aWNlTmFtZSI6ImNvbS5hcHBsZS5saWdodGhvdXNlLklGVHJhbnNjcmlwdFNFTEZJbmdlc3RvciIsImVuaGFuY2VkU2VjdXJpdHkiOmZhbHNlLCJ0eXBlIjoxfQ==
bikennepal        1468   0.0  0.1 435314864  10576   ??  Ss   10:11AM   0:00.06 /System/Library/ExtensionKit/Extensions/IFTelemetrySELFIngestor.appex/Contents/MacOS/IFTelemetrySELFIngestor -LaunchArguments eyJzZXJ2aWNlTmFtZSI6ImNvbS5hcHBsZS5saWdodGhvdXNlLklGVGVsZW1ldHJ5U0VMRkluZ2VzdG9yIiwiZW5oYW5jZWRTZWN1cml0eSI6ZmFsc2UsInR5cGUiOjF9
bikennepal        1467   0.0  0.1 435339808   8896   ??  Ss   10:11AM   0:00.19 /System/Library/Frameworks/ExtensionFoundation.framework/Versions/A/XPCServices/extensionkitservice.xpc/Contents/MacOS/extensionkitservice
bikennepal        1466   0.0  0.1 435359552  20864   ??  Ss   10:11AM   0:00.37 /System/Library/PrivateFrameworks/SiriAnalytics.framework/Versions/A/XPCServices/SAExtensionOrchestrator.xpc/Contents/MacOS/SAExtensionOrchestrator
